"Target","Indicator","Indicator Name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, spoke the language of the test at home, both sexes (%)","80.32","","","62.17","","","75.69","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, female (%)","87.83","","","66.13","","","79.40","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)","51.85","","","34.88","","","50.10","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, both sexes (%)","78.37","","","60.02","","","73.87","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, non-immigrant background, both sexes (%)","78.90","","","60.93","","","74.50","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, immigrant background, both sexes (%)","64.61","","","48.66","","","74.15","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, rural areas, both sexes (%)","74.31","","","","","","","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, urban areas, both sexes (%)","78.96","","","","","","79.91","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, spoke the language of the test at home, both sexes (%)","","","","45.41","","","","60.98","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, very affluent socioeconomic background, both sexes (%)","","","","74.33","","","","80.27","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, male (%)","","","","57.79","","","","70.63","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%)","","","","57.09","","","","70.42","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, very poor socioeconomic background, both sexes (%)","","","","46.56","","","","62.95","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, urban areas, both sexes (%)","","","","52.76","","","","62.51","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, female (%)","","","","43.49","","","","58.99","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, did not speak the language of the test at home, both sexes (%)","","","","11.10","","","","22.88","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, male (%)","","","","41.48","","","","53.67","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, very affluent socioeconomic background, both sexes (%)","","","","60.93","","","","72.19","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, very poor socioeconomic background, both sexes (%)","","","","31.87","","","","46.69","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, rural areas, both sexes (%)","","","","47.40","","","","19.97","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, female (%)","","","","56.38","","","","70.36","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, spoke the language of the test at home, both sexes (%)","","","","61.23","","","","77.17","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, urban areas, both sexes (%)","","","","65.14","","","","79.38","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)","","","","42.39","","","","56.36","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, non-immigrant background, both sexes (%)","","","","25.04","","","","71.83","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, did not speak the language of the test at home, both sexes (%)","","","","12.63","","","","29.43","","",""
"4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, immigrant background, both sexes (%)","","","","58.47","","","","36.22","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, non-immigrant background, both sexes (%)","","","","33.41","","","","56.80","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, immigrant background, both sexes (%)","","","","42.65","","","","38.64","","",""
"4.1","4.1.2","Completion rate, upper secondary education, female (%)","53.30","43.23","56.88","59.70","61.50","63.00","64.50","","","",""
"4.1","4.1.2","Completion rate, primary education, both sexes (%)","97.80","98.65","98.49","99.20","99.50","99.60","99.80","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, male (%)","93.00","94.33","94.33","95.30","95.90","96.40","96.90","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","55.80","42.15","55.87","59.80","61.00","62.20","63.60","","","",""
"4.1","4.1.2","Completion rate, primary education, female (%)","97.50","98.27","97.86","99.00","99.30","99.50","99.60","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, male (%)","56.40","41.22","54.98","58.70","59.70","60.60","61.50","","","",""
"4.1","4.1.2","Completion rate, primary education, male (%)","97.60","99.06","99.15","99.00","99.30","99.50","99.60","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, female (%)","88.20","90.22","90.22","92.60","93.60","94.50","95.30","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","90.80","92.34","92.34","94.10","94.90","95.60","96.20","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, female (%)","","98.80","98.73","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, richest quintile, male (%)","","100.00","100.00","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, male (%)","","94.07","94.07","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, middle quintile, male (%)","","44.11","60.94","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, fourth quintile, male (%)","","96.75","96.75","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, middle quintile, female (%)","","99.25","98.89","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, both sexes (%)","","99.13","99.08","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, second quintile, female (%)","","98.87","96.47","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, middle quintile, male (%)","","99.14","99.31","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, second quintile, male (%)","","99.26","99.83","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, second quintile, male (%)","","34.43","44.55","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, middle quintile, female (%)","","93.92","93.94","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, second quintile, male (%)","","98.55","98.54","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, poorest quintile, male (%)","","14.92","26.61","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, second quintile, male (%)","","99.04","98.73","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, middle quintile, female (%)","","43.17","59.53","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, fourth quintile, male (%)","","45.36","63.32","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, middle quintile, female (%)","","100.00","100.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, fourth quintile, female (%)","","60.57","74.17","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, poorest quintile, male (%)","","74.57","74.54","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, middle quintile, female (%)","","93.57","93.58","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, fourth quintile, female (%)","","61.08","73.91","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, poorest quintile, female (%)","","74.48","74.48","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, fourth quintile, both sexes (%)","","95.52","95.51","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, poorest quintile, female (%)","","74.77","74.73","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, fourth quintile, both sexes (%)","","95.06","95.09","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, richest quintile, male (%)","","70.78","82.76","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, poorest quintile, both sexes (%)","","83.71","83.72","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, richest quintile, female (%)","","72.09","87.63","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, richest quintile, female (%)","","99.62","99.62","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, richest quintile, both sexes (%)","","71.37","85.04","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, second quintile, both sexes (%)","","33.24","45.21","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, second quintile, both sexes (%)","","98.70","98.66","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, second quintile, female (%)","","88.10","88.10","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, richest quintile, both sexes (%)","","99.31","99.91","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, poorest quintile, both sexes (%)","","15.00","24.64","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, male (%)","","95.18","95.17","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, poorest quintile, male (%)","","97.24","98.84","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, middle quintile, both sexes (%)","","99.03","99.03","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, poorest quintile, male (%)","","97.99","98.45","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, second quintile, both sexes (%)","","98.68","98.01","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, middle quintile, both sexes (%)","","99.19","99.11","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, female (%)","","96.69","95.41","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, fourth quintile, both sexes (%)","","97.53","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, male (%)","","99.48","99.43","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, poorest quintile, both sexes (%)","","98.23","96.72","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, poorest quintile, female (%)","","96.97","95.64","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, middle quintile, both sexes (%)","","99.10","99.00","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, fourth quintile, both sexes (%)","","99.74","99.74","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, poorest quintile, male (%)","","86.03","86.04","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, second quintile, both sexes (%)","","91.79","91.78","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, richest quintile, male (%)","","70.43","81.88","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, middle quintile, both sexes (%)","","43.65","60.26","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, richest quintile, both sexes (%)","","99.81","99.81","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, middle quintile, male (%)","","95.71","95.72","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, richest quintile, both sexes (%)","","71.36","84.68","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, female (%)","","23.73","33.40","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, male (%)","","26.63","40.92","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, second quintile, both sexes (%)","","33.85","50.40","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, second quintile, male (%)","","37.02","60.24","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, middle quintile, both sexes (%)","","40.89","63.44","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, middle quintile, female (%)","","41.05","51.25","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, male (%)","","44.73","58.50","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, fourth quintile, female (%)","","94.24","94.22","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, fourth quintile, male (%)","","45.31","64.13","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, poorest quintile, both sexes (%)","","74.53","74.52","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, middle quintile, both sexes (%)","","100.00","100.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, fourth quintile, both sexes (%)","","51.97","68.45","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, middle quintile, female (%)","","43.49","60.54","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, poorest quintile, female (%)","","74.69","74.66","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, middle quintile, female (%)","","99.15","98.75","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, richest quintile, male (%)","","100.00","100.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, middle quintile, male (%)","","40.68","76.80","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, both sexes (%)","","93.33","93.33","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, second quintile, female (%)","","89.49","89.48","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, poorest quintile, male (%)","","99.65","97.69","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, second quintile, male (%)","","92.42","92.43","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, richest quintile, female (%)","","72.50","87.87","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, middle quintile, male (%)","","100.00","100.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, second quintile, male (%)","","33.54","39.99","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, fourth quintile, female (%)","","99.52","99.51","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, fourth quintile, male (%)","","99.62","99.62","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, middle quintile, male (%)","","44.49","59.33","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, richest quintile, both sexes (%)","","99.81","99.81","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, poorest quintile, both sexes (%)","","13.69","23.69","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, poorest quintile, male (%)","","10.46","23.86","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, poorest quintile, female (%)","","95.92","94.66","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, both sexes (%)","","97.24","96.79","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, poorest quintile, both sexes (%)","","11.75","22.11","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, fourth quintile, both sexes (%)","","95.55","95.54","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, second quintile, female (%)","","32.25","48.58","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, richest quintile, female (%)","","98.80","99.84","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, male (%)","","97.83","98.30","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, richest quintile, female (%)","","99.61","99.61","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, richest quintile, male (%)","","100.00","100.00","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, fourth quintile, male (%)","","96.66","96.66","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, middle quintile, both sexes (%)","","94.86","94.88","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, poorest quintile, female (%)","","12.28","20.66","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, fourth quintile, female (%)","","94.29","94.28","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, middle quintile, both sexes (%)","","44.00","59.91","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, second quintile, female (%)","","98.34","97.36","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, fourth quintile, both sexes (%)","","51.88","68.16","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, richest quintile, male (%)","","100.00","100.00","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, female (%)","","82.10","82.08","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, fourth quintile, male (%)","","99.61","99.61","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, poorest quintile, male (%)","","17.85","28.08","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, second quintile, female (%)","","30.09","41.28","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, poorest quintile, both sexes (%)","","96.54","96.58","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, fourth quintile, female (%)","","99.87","99.86","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, second quintile, female (%)","","98.19","97.63","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, second quintile, female (%)","","32.91","51.21","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, second quintile, both sexes (%)","","98.63","96.08","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, poorest quintile, male (%)","","92.68","92.70","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, poorest quintile, female (%)","","96.25","94.94","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, both sexes (%)","","25.24","37.24","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, poorest quintile, female (%)","","13.20","20.55","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, second quintile, male (%)","","94.22","94.21","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, middle quintile, male (%)","","100.00","100.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, female (%)","","48.31","63.27","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, middle quintile, male (%)","","99.06","99.22","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, both sexes (%)","","88.99","88.98","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, middle quintile, both sexes (%)","","94.38","94.40","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, poorest quintile, both sexes (%)","","97.07","96.62","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, second quintile, both sexes (%)","","33.39","46.48","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, second quintile, female (%)","","94.68","94.69","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, poorest quintile, both sexes (%)","","80.73","80.73","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, second quintile, male (%)","","98.40","95.71","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, urban, both sexes (%)","","46.37","60.73","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, female (%)","","92.55","92.55","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, second quintile, both sexes (%)","","90.08","90.08","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, poorest quintile, female (%)","","11.65","20.74","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, urban, middle quintile, male (%)","","95.13","95.15","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, richest quintile, both sexes (%)","","99.34","99.92","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, fourth quintile, both sexes (%)","","99.57","99.56","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, urban, richest quintile, female (%)","","98.78","99.83","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, second quintile, both sexes (%)","","96.88","96.87","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, middle quintile, female (%)","","","97.59","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, richest quintile, female (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, fourth quintile, male (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, richest quintile, female (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, richest quintile, female (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, fourth quintile, both sexes (%)","","","61.02","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, fourth quintile, male (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, fourth quintile, male (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, richest quintile, male (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, fourth quintile, female (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, richest quintile, both sexes (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, richest quintile, both sexes (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, primary education, rural, richest quintile, male (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, richest quintile, male (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, richest quintile, both sexes (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, lower secondary education, rural, fourth quintile, female (%)","","","0.00","","","","","","","",""
"4.1","4.1.2","Completion rate, upper secondary education, rural, fourth quintile, female (%)","","","0.00","","","","","","","",""
"4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, female (%)","92.99","92.59","95.33","93.09","","86.35","85.84","88.06","122.89","",""
"4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, male (%)","97.57","96.68","98.35","96.65","","88.62","87.18","89.48","122.16","",""
"4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, both sexes (%)","95.32","94.67","96.87","94.91","","87.51","86.52","88.79","122.51","",""
"4.1","4.1.3","Gross intake ratio to the last grade of primary education, both sexes (%)","","93.88","91.40","92.23","126.77","89.75","88.53","90.85","93.58","",""
"4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","","94.60","92.03","92.85","126.74","89.93","88.68","91.24","93.89","",""
"4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","","93.13","90.74","91.59","126.79","89.56","88.37","90.44","93.25","",""
"4.1","4.1.4","Out-of-school rate for children and adolescents of primary and lower secondary school age, male (%)","3.51","4.17","4.14","6.05","7.31","6.53","5.14","3.75","3.12","",""
"4.1","4.1.4","Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)","14.40","9.87","10.15","11.79","13.17","11.19","11.86","11.11","10.34","",""
"4.1","4.1.4","Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, male (%)","9.79","7.64","7.76","8.85","10.22","8.04","9.19","8.40","8.06","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, male (%)","22.66","14.65","14.98","14.42","15.98","11.02","17.24","17.64","17.90","",""
"4.1","4.1.4","Out-of-school rate for adolescents and youth of lower and upper secondary school age, female (%)","16.09","11.33","11.10","12.77","13.80","12.80","12.30","11.93","10.98","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, both sexes (%)","24.77","16.65","16.18","15.56","16.51","13.42","17.53","18.73","18.66","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, both sexes (%)","0.97","3.18","4.14","8.01","9.80","8.95","6.16","3.44","1.96","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","26.95","18.72","17.42","16.74","17.06","15.91","17.83","19.86","19.46","",""
"4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, both sexes (%)","32.92","27.07","30.31","31.60","34.72","32.36","24.26","24.09","20.51","",""
"4.1","4.1.4","Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, female (%)","12.21","9.95","9.36","10.44","11.30","10.37","9.96","9.63","9.00","",""
"4.1","4.1.4","Out-of-school rate for adolescents and youth of lower and upper secondary school age, male (%)","12.78","8.46","9.24","10.85","12.56","9.65","11.45","10.33","9.74","",""
"4.1","4.1.4","Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)","10.98","8.78","8.54","9.63","10.75","9.18","9.57","9.00","8.52","",""
"4.1","4.1.4","Out-of-school rate for children and adolescents of primary and lower secondary school age, female (%)","4.96","5.58","5.30","7.26","8.38","7.57","5.99","4.48","3.76","",""
"4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","31.61","26.44","29.48","30.48","33.74","31.25","23.28","22.98","19.29","",""
"4.1","4.1.4","Out-of-school rate for children and adolescents of primary and lower secondary school age, both sexes (%)","4.22","4.86","4.71","6.64","7.83","7.04","5.56","4.11","3.44","",""
"4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","34.28","27.72","31.17","32.76","35.73","33.52","25.29","25.26","21.79","",""
