,school,sex,age,reason,traveltime,studytime,failures,activities,freetime,health,absences,Subject,Final_Score,ses_status,avg_alc,social_score_category
27,GP,M,15,other,1,1,0,no,2,1,4,1,15.0,High,3.0,Very Bad
28,GP,M,16,home,1,2,0,yes,3,5,4,1,11.0,High,1.0,Very Bad
29,GP,M,16,home,1,2,0,yes,4,5,16,1,11.0,High,5.0,Neutral
30,GP,M,15,home,1,2,0,no,4,5,0,1,11.0,High,3.5,Very Bad
31,GP,M,15,reputation,2,2,0,yes,3,5,0,1,17.0,High,1.0,Very Bad
32,GP,M,15,course,1,2,0,yes,5,5,0,1,16.0,Medium,1.0,Very Bad
33,GP,M,15,course,1,2,0,yes,3,2,0,1,10.0,Medium,1.0,Very Bad
34,GP,M,16,home,1,1,0,no,4,5,0,1,14.0,Medium,1.0,Very Bad
35,GP,F,15,other,2,1,0,yes,5,5,0,1,7.0,Medium,1.0,Very Bad
36,GP,M,15,home,1,3,0,yes,4,4,2,1,16.0,High,1.0,Very Bad
37,GP,M,16,reputation,2,3,0,yes,4,5,7,1,15.0,Medium,1.0,Very Bad
38,GP,F,15,course,1,3,0,yes,3,5,2,1,12.0,High,1.0,Very Bad
39,GP,F,15,reputation,1,1,0,yes,3,2,8,1,13.0,Medium,1.0,Very Bad
40,GP,F,16,home,2,2,1,yes,3,3,25,1,10.0,Medium,1.5,Very Bad
41,GP,M,15,home,1,1,0,no,4,5,8,1,12.0,High,3.0,Neutral
42,GP,M,15,course,1,2,0,yes,3,5,2,1,18.0,High,1.0,Very Bad
43,GP,M,15,course,1,1,0,no,4,1,0,1,9.0,High,1.0,Very Bad
44,GP,F,16,course,2,2,1,yes,3,5,14,1,10.0,Medium,2.0,Very Bad
45,GP,F,15,course,1,2,0,yes,2,5,8,1,7.0,High,1.0,Very Bad
46,GP,F,16,home,1,2,0,no,3,3,12,1,11.0,Medium,2.5,Neutral
47,GP,M,16,reputation,1,4,0,yes,2,2,4,1,19.0,Medium,1.0,Very Bad
48,GP,M,15,home,1,2,0,no,3,5,2,1,15.0,Medium,2.0,Very Bad
49,GP,F,15,other,1,2,1,yes,4,3,2,1,7.0,High,1.0,Neutral
50,GP,F,16,course,3,2,0,no,3,4,2,1,13.0,High,2.5,Very Bad
51,GP,F,15,other,1,2,0,no,3,5,2,1,12.0,High,1.0,Very Bad
52,GP,M,15,other,2,1,1,no,5,5,6,1,11.0,Medium,3.5,Neutral
53,GP,F,15,course,1,1,0,no,3,5,0,1,10.0,High,2.5,Very Bad
54,GP,F,15,other,1,1,0,no,3,1,6,1,12.0,Medium,4.0,Neutral
55,GP,F,16,other,1,2,0,yes,3,2,8,1,9.0,Medium,1.0,Neutral
56,GP,F,15,reputation,1,2,0,yes,3,1,0,1,15.0,High,1.0,Very Bad
57,GP,M,15,reputation,1,2,0,yes,2,5,4,1,15.0,Medium,1.0,Very Bad
58,GP,M,15,home,1,2,0,yes,3,5,2,1,9.0,High,1.0,Very Bad
59,GP,F,16,course,1,2,0,no,2,5,2,1,16.0,Medium,1.0,Very Bad
60,GP,F,16,other,1,2,0,yes,4,4,6,1,11.0,Medium,2.5,Very Bad
61,GP,F,16,course,4,1,0,yes,5,5,6,1,10.0,High,5.0,Excellent
62,GP,F,16,reputation,1,2,0,yes,4,1,4,1,9.0,High,1.0,Very Bad
63,GP,F,16,home,1,3,0,yes,4,4,2,1,9.0,High,3.0,Very Bad
64,GP,F,15,reputation,1,2,0,yes,4,2,0,1,10.0,High,3.0,Neutral
65,GP,F,16,course,3,2,0,yes,4,1,2,1,15.0,High,1.5,Very Bad
66,GP,M,15,reputation,1,4,0,yes,3,3,4,1,13.0,Medium,5.0,Very Bad
67,GP,F,16,course,1,4,0,no,3,5,4,1,7.0,High,1.5,Very Bad
68,GP,F,15,reputation,2,2,0,no,1,4,2,1,8.0,High,2.0,Very Bad
69,GP,F,15,reputation,2,4,0,no,4,3,12,1,16.0,Medium,2.5,Very Bad
70,GP,M,16,reputation,2,4,0,no,3,5,0,1,14.0,Medium,1.0,Very Bad
71,GP,M,15,course,1,4,0,no,3,3,0,1,10.0,Medium,1.0,Very Bad
72,GP,F,15,reputation,1,2,2,no,3,5,2,1,6.0,Medium,3.0,Neutral
73,GP,M,16,reputation,1,1,0,yes,3,5,2,1,13.0,Low,2.0,Very Bad
74,GP,F,16,home,1,2,0,yes,3,5,54,1,11.0,High,3.0,Very Bad
75,GP,M,15,home,1,2,0,yes,3,5,6,1,9.0,High,2.5,Very Bad
76,GP,M,15,course,2,4,0,yes,4,1,8,1,11.0,Medium,1.0,Very Bad
77,GP,F,16,reputation,1,4,0,no,2,3,0,1,11.0,Medium,2.0,Neutral
78,GP,M,17,home,2,1,3,yes,5,3,2,1,9.0,Medium,1.0,Very Bad
79,GP,F,16,course,1,2,0,no,4,3,12,1,5.0,Medium,1.5,Very Bad
80,GP,M,15,course,1,1,0,yes,2,3,2,1,11.0,High,2.0,Very Bad
81,GP,M,15,home,1,3,0,no,3,5,4,1,11.0,Medium,1.5,Very Bad
82,GP,F,15,reputation,1,2,0,no,4,5,10,1,6.0,High,1.0,Neutral
83,GP,M,15,home,2,2,0,yes,3,4,4,1,15.0,High,2.0,Very Bad
84,GP,F,15,home,1,2,0,yes,3,4,2,1,10.0,Medium,2.5,Very Bad
85,GP,F,15,reputation,2,2,2,no,4,5,6,1,8.0,High,2.5,Neutral
86,GP,F,16,course,1,2,0,no,3,2,4,1,7.0,Medium,1.5,Neutral
87,GP,F,15,reputation,1,3,0,yes,3,1,4,1,14.0,Medium,2.0,Very Bad
88,GP,M,16,reputation,2,2,1,yes,4,3,12,1,10.0,Medium,1.0,Very Bad
89,GP,M,16,reputation,1,2,0,no,1,5,18,1,7.0,Medium,4.0,Very Bad
90,GP,F,16,home,1,3,0,no,3,4,0,1,7.0,Medium,2.0,Very Bad
91,GP,F,15,reputation,1,1,0,yes,5,1,4,1,17.0,Medium,2.0,Neutral
92,GP,F,16,home,1,2,0,no,3,2,4,1,6.0,Medium,2.5,Very Bad
93,GP,F,16,home,2,2,0,yes,3,1,0,1,10.0,High,1.0,Very Bad
94,GP,M,15,reputation,1,4,0,yes,3,4,6,1,13.0,High,1.0,Neutral
95,GP,F,15,home,2,4,1,yes,1,1,2,1,9.0,Medium,1.0,Very Bad
96,GP,M,16,reputation,2,1,0,yes,3,4,2,1,14.0,Medium,1.0,Very Bad
97,GP,F,16,course,1,2,0,no,3,5,2,1,9.0,Medium,1.0,Neutral
98,GP,F,16,reputation,1,1,0,yes,3,1,6,1,13.0,Low,1.5,Neutral
99,GP,F,16,course,1,3,0,no,3,3,0,1,8.0,High,1.0,Neutral
100,GP,M,16,other,1,1,0,yes,5,4,14,1,6.0,High,5.0,Neutral
101,GP,M,16,other,1,3,0,yes,4,4,0,1,17.0,High,1.0,Very Bad
102,GP,M,15,course,1,1,0,yes,3,5,4,1,12.0,Medium,1.0,Very Bad
103,GP,F,15,home,2,2,0,no,3,2,26,1,6.0,High,1.0,Neutral
104,GP,M,15,course,1,2,0,yes,4,1,0,1,17.0,Medium,1.0,Neutral
105,GP,F,15,reputation,1,4,0,no,3,4,10,1,11.0,Medium,1.0,Very Bad
106,GP,F,15,course,1,4,0,no,1,3,8,1,8.0,High,1.0,Very Bad
107,GP,M,16,home,1,3,0,yes,3,5,2,1,17.0,Medium,1.0,Very Bad
108,GP,M,15,home,4,4,0,yes,3,1,6,1,12.0,Medium,4.0,Neutral
109,GP,F,16,other,1,3,0,yes,4,4,4,1,15.0,High,1.0,Excellent
110,GP,M,15,course,1,1,0,yes,5,4,6,1,19.0,Medium,1.0,Very Bad
111,GP,F,16,reputation,1,3,1,yes,1,2,0,1,9.0,Medium,1.0,Very Bad
112,GP,F,16,home,1,2,1,yes,1,5,6,1,12.0,Medium,1.0,Very Bad
113,GP,M,15,course,1,1,0,no,5,3,10,1,19.0,Medium,1.0,Very Bad
114,GP,M,15,reputation,1,2,0,yes,4,5,8,1,9.0,Medium,1.0,Very Bad
115,GP,M,16,course,1,2,0,yes,4,5,2,1,15.0,High,1.5,Neutral
116,GP,M,15,reputation,2,2,0,yes,4,2,2,1,13.0,Medium,1.0,Very Bad
117,GP,M,16,home,2,1,0,yes,4,5,0,1,13.0,Medium,1.0,Very Bad
118,GP,M,17,course,3,2,1,yes,2,5,20,1,8.0,Medium,2.5,Neutral
119,GP,M,15,reputation,1,1,0,no,4,4,6,1,13.0,Medium,1.5,Very Bad
120,GP,F,15,course,1,2,0,no,2,1,2,1,15.0,Medium,1.5,Very Bad
121,GP,M,15,home,1,4,0,yes,5,5,6,1,15.0,High,1.5,Neutral
122,GP,F,16,course,2,2,0,yes,2,5,2,1,13.0,High,1.5,Very Bad
123,GP,M,16,course,1,1,0,yes,4,5,18,1,13.0,Medium,2.5,Very Bad
124,GP,F,16,home,1,2,0,no,4,5,0,1,8.0,Medium,1.0,Neutral
125,GP,M,15,home,1,1,0,no,5,5,0,1,13.0,High,2.5,Neutral
126,GP,F,15,home,1,2,0,yes,3,1,0,1,10.0,Medium,1.0,Very Bad
127,GP,F,19,course,1,2,3,no,4,5,2,1,8.0,Low,1.0,Very Bad
128,GP,M,18,reputation,1,1,2,yes,3,4,0,1,3.0,Medium,1.5,Very Bad
129,GP,M,16,course,1,1,0,yes,5,4,8,1,18.0,Medium,3.5,Neutral
130,GP,F,15,course,2,3,2,no,2,5,0,1,4.0,Medium,2.0,Very Bad
131,GP,F,15,course,3,1,0,yes,3,4,0,1,2.0,Medium,1.5,Very Bad
132,GP,F,17,course,1,1,0,no,4,5,12,1,12.0,Medium,2.0,Neutral
133,GP,F,16,course,1,1,0,no,2,5,16,1,11.0,Medium,2.5,Very Bad
134,GP,M,15,course,4,2,0,no,3,5,0,1,3.0,Medium,1.0,Neutral
135,GP,F,15,course,1,3,0,yes,3,5,0,1,3.0,Medium,1.0,Very Bad
136,GP,M,17,course,3,2,0,no,4,5,0,1,3.0,Low,3.0,Neutral
137,GP,F,16,course,2,1,2,yes,3,5,0,1,1.0,Medium,1.0,Very Bad
138,GP,M,16,course,1,2,1,no,4,5,0,1,13.0,Medium,2.0,Neutral
139,GP,F,15,course,2,1,0,yes,3,5,0,1,16.0,Medium,1.0,Very Bad
140,GP,M,15,course,2,4,0,no,2,3,0,1,5.0,High,1.0,Very Bad
141,GP,M,16,reputation,2,1,2,yes,3,2,8,1,9.0,High,2.0,Very Bad
142,GP,F,15,course,1,3,0,yes,2,5,2,1,10.0,High,1.0,Very Bad
143,GP,F,16,course,1,1,0,no,4,1,2,1,14.0,Medium,3.0,Very Bad
144,GP,M,17,home,1,1,3,no,4,5,0,1,2.0,Medium,1.5,Neutral
145,GP,F,15,course,1,2,0,no,4,5,0,1,10.0,High,1.5,Very Bad
146,GP,F,15,home,1,2,3,no,3,3,0,1,4.0,High,1.0,Very Bad
147,GP,F,15,course,1,2,0,no,3,5,2,1,11.0,Medium,1.0,Very Bad
148,GP,M,16,course,1,1,0,no,3,5,0,1,4.0,Medium,1.5,Very Bad
149,GP,M,15,course,4,1,3,no,5,5,0,1,9.0,Medium,3.5,Neutral
150,GP,M,18,course,1,1,3,no,3,4,0,1,3.0,Medium,3.5,Neutral
151,GP,M,16,course,1,1,1,yes,4,5,6,1,13.0,Medium,4.0,Neutral
152,GP,F,15,reputation,2,3,2,yes,2,3,8,1,10.0,High,2.5,Very Bad
153,GP,M,19,home,1,1,3,no,5,4,0,1,2.0,Medium,1.0,Neutral
154,GP,F,17,course,1,1,0,no,2,4,0,1,11.0,Medium,1.0,Very Bad
155,GP,M,15,course,1,2,0,yes,4,1,2,1,9.0,Medium,1.0,Neutral
156,GP,M,17,reputation,1,1,0,no,2,5,8,1,14.0,Low,3.0,Very Bad
157,GP,F,18,course,3,1,3,yes,2,4,6,1,9.0,Low,3.0,Neutral
158,GP,M,16,course,3,1,0,no,2,3,2,1,16.0,Low,1.5,Very Bad
159,GP,M,16,course,1,2,1,no,5,5,4,1,11.0,High,4.0,Neutral
160,GP,M,17,course,2,1,2,yes,3,5,0,1,4.0,Low,2.0,Very Bad
161,GP,M,15,course,2,2,2,no,4,3,6,1,7.0,Medium,2.5,Neutral
162,GP,M,16,course,2,1,1,yes,4,5,0,1,2.0,Medium,3.0,Neutral
163,GP,M,17,course,1,1,0,no,3,2,2,1,10.0,Medium,2.5,Very Bad
164,GP,M,17,course,4,2,3,yes,3,5,0,1,7.0,Low,3.0,Excellent
165,GP,M,16,course,2,1,1,yes,5,2,16,1,12.0,Medium,1.0,Very Bad
166,GP,M,16,course,1,2,0,no,3,4,4,1,10.0,Low,3.0,Neutral
167,GP,F,16,home,1,2,0,no,2,3,0,1,15.0,High,1.0,Very Bad
168,GP,F,16,home,1,2,0,no,1,4,0,1,4.0,Medium,1.0,Neutral
169,GP,F,16,reputation,1,2,0,no,4,3,0,1,14.0,High,1.0,Very Bad
170,GP,M,16,course,3,1,2,yes,4,2,0,1,3.0,Medium,3.0,Neutral
171,GP,M,16,reputation,2,2,0,yes,3,3,2,1,15.0,Medium,1.0,Very Bad
172,GP,M,17,reputation,1,2,0,yes,4,5,0,1,11.0,High,2.0,Neutral
173,GP,F,16,home,1,2,3,yes,3,3,0,1,4.0,Medium,1.0,Neutral
174,GP,F,16,reputation,2,2,0,yes,4,4,4,1,10.0,High,1.0,Neutral
175,GP,M,17,course,2,2,0,yes,4,4,4,1,9.0,High,4.0,Neutral
176,GP,F,16,reputation,2,2,0,yes,4,5,2,1,12.0,Medium,2.5,Very Bad
177,GP,M,17,reputation,1,2,0,yes,3,4,4,1,6.0,Low,2.5,Neutral
178,GP,M,16,other,1,1,0,yes,3,3,10,1,9.0,Medium,3.5,Very Bad
179,GP,M,17,course,1,2,0,yes,2,2,4,1,10.0,Medium,1.0,Neutral
180,GP,M,16,home,1,2,0,yes,4,3,10,1,8.0,High,2.5,Very Bad
181,GP,M,16,home,1,2,0,yes,2,3,2,1,12.0,Medium,1.5,Very Bad
182,GP,F,17,reputation,1,2,0,yes,4,5,0,1,17.0,Medium,2.5,Very Bad
183,GP,F,17,reputation,1,2,0,yes,3,1,56,1,9.0,Medium,2.5,Neutral
184,GP,F,16,reputation,1,2,0,no,2,1,14,1,12.0,Medium,1.5,Very Bad
185,GP,M,17,other,1,2,0,yes,3,4,12,1,12.0,High,2.5,Neutral
186,GP,M,16,other,1,1,0,yes,3,3,2,1,11.0,High,1.5,Very Bad
187,GP,M,16,course,1,2,0,yes,2,5,0,1,15.0,Medium,1.5,Very Bad
188,GP,F,17,reputation,1,2,0,no,3,3,6,1,8.0,Medium,2.0,Very Bad
189,GP,M,17,home,1,2,0,no,1,3,4,1,9.0,Low,3.0,Very Bad
190,GP,F,16,course,1,2,0,no,3,2,10,1,12.0,Medium,1.0,Very Bad
191,GP,F,17,course,1,2,0,yes,3,3,0,1,8.0,Medium,1.0,Very Bad
192,GP,M,17,other,2,2,0,yes,4,5,12,1,8.0,Medium,4.5,Neutral
193,GP,M,16,reputation,1,1,0,yes,3,5,8,1,9.0,Medium,3.5,Very Bad
194,GP,M,16,home,2,1,0,no,3,3,0,1,14.0,Medium,1.0,Very Bad
195,GP,F,17,course,1,2,0,yes,3,5,0,1,15.0,High,1.0,Very Bad
196,GP,M,17,home,1,1,0,no,2,5,4,1,16.0,Medium,1.5,Very Bad
197,GP,M,16,home,3,1,0,yes,3,3,8,1,9.0,High,4.0,Very Bad
198,GP,F,17,home,2,1,1,no,2,2,24,1,18.0,High,2.5,Neutral
199,GP,F,16,reputation,1,2,0,no,5,3,0,1,9.0,High,1.5,Very Bad
200,GP,F,16,home,1,2,0,yes,3,2,2,1,16.0,Medium,3.0,Neutral
201,GP,F,16,reputation,1,2,0,yes,4,4,6,1,9.0,Medium,2.0,Very Bad
202,GP,F,17,course,1,2,0,no,4,1,4,1,9.0,Medium,2.0,Neutral
203,GP,F,17,reputation,1,1,0,no,3,3,18,1,6.0,Medium,1.5,Very Bad
204,GP,F,16,reputation,2,4,0,yes,3,5,6,1,10.0,Medium,1.0,Neutral
205,GP,F,17,home,1,3,1,no,4,5,28,1,9.0,High,3.5,Very Bad
206,GP,F,16,course,1,2,3,no,3,4,5,1,7.0,Medium,2.0,Very Bad
207,GP,F,16,other,1,2,0,yes,3,1,10,1,12.0,Medium,1.0,Very Bad
208,GP,F,16,home,2,1,0,no,3,5,6,1,9.0,Medium,2.5,Very Bad
209,GP,F,17,reputation,2,3,0,yes,4,4,6,1,7.0,Medium,1.0,Very Bad
210,GP,F,19,reputation,1,4,0,yes,3,3,10,1,8.0,High,1.5,Very Bad
211,GP,M,17,home,1,2,0,no,3,3,13,1,12.0,High,4.5,Excellent
212,GP,F,16,reputation,1,2,0,no,3,4,0,1,13.0,Medium,1.0,Very Bad
213,GP,M,18,home,1,2,1,yes,4,5,15,1,7.0,High,3.0,Neutral
214,GP,F,17,other,1,1,0,no,2,3,12,1,9.0,Medium,1.5,Very Bad
215,GP,F,17,reputation,2,2,0,no,4,1,2,1,15.0,Medium,2.0,Neutral
216,GP,F,17,reputation,1,2,2,no,4,1,22,1,5.0,Medium,3.0,Neutral
217,GP,M,18,home,1,2,1,no,2,4,13,1,7.0,High,3.0,Very Bad
218,GP,F,17,home,2,1,0,no,3,3,3,1,7.0,Medium,2.5,Very Bad
219,GP,F,17,course,1,3,0,yes,3,4,4,1,10.0,Medium,1.0,Very Bad
220,GP,F,17,reputation,2,2,0,yes,2,5,2,1,6.0,Medium,1.5,Neutral
221,GP,F,17,reputation,1,3,1,yes,3,5,0,1,3.0,Medium,1.0,Neutral
222,GP,F,16,other,1,2,0,no,3,3,2,1,16.0,High,1.0,Very Bad
223,GP,M,18,home,2,2,0,no,3,4,0,1,13.0,Medium,5.0,Very Bad
224,GP,F,16,home,1,3,0,yes,3,5,0,1,13.0,Medium,1.0,Very Bad
225,GP,F,18,reputation,1,2,1,yes,3,4,16,1,8.0,Low,1.0,Neutral
226,GP,F,17,course,1,2,0,yes,3,3,10,1,15.0,Low,2.0,Neutral
227,GP,M,17,reputation,1,2,0,no,3,3,2,1,12.0,High,2.0,Very Bad
228,GP,M,18,course,4,2,0,yes,3,3,14,1,9.0,High,4.5,Very Bad
229,GP,F,17,course,2,3,0,yes,2,3,10,1,11.0,Low,1.5,Very Bad
230,GP,F,17,reputation,1,2,0,yes,2,3,14,1,13.0,Medium,1.5,Very Bad
231,GP,M,17,course,2,2,0,yes,5,1,4,1,11.0,Medium,1.0,Very Bad
232,GP,M,17,reputation,1,2,0,yes,5,2,14,1,10.0,High,2.0,Neutral
233,GP,M,16,reputation,1,2,0,yes,2,1,2,1,13.0,High,3.0,Neutral
234,GP,M,16,home,2,2,0,no,4,5,18,1,7.0,High,1.0,Very Bad
235,GP,M,16,reputation,2,3,0,yes,3,2,10,1,10.0,Medium,2.0,Neutral
236,GP,M,17,home,1,2,0,yes,4,4,4,1,13.0,Medium,5.0,Very Bad
237,GP,F,16,home,1,1,0,no,5,5,20,1,12.0,Medium,1.0,Very Bad
238,GP,F,17,course,3,2,0,yes,1,3,2,1,12.0,Low,1.0,Very Bad
239,GP,M,18,reputation,1,2,1,no,5,2,0,1,4.0,Medium,4.0,Neutral
240,GP,M,17,course,2,2,0,yes,5,5,14,1,12.0,Medium,2.5,Neutral
241,GP,M,17,course,2,2,0,no,3,4,2,1,11.0,Medium,2.5,Very Bad
242,GP,M,16,course,1,1,0,yes,4,3,0,1,2.0,Medium,1.0,Neutral
243,GP,M,16,course,1,1,0,yes,3,5,0,1,12.0,Medium,1.5,Very Bad
244,GP,F,18,course,2,3,0,no,4,3,0,1,2.0,Medium,1.0,Neutral
245,GP,M,16,course,3,1,0,no,3,4,6,1,18.0,Medium,1.0,Very Bad
246,GP,M,17,course,2,1,0,no,2,2,4,1,12.0,Medium,1.0,Very Bad
247,GP,M,22,other,1,1,3,no,4,1,16,1,7.0,Medium,5.0,Excellent
248,GP,M,18,course,1,2,1,no,3,5,8,1,4.0,Medium,2.0,Very Bad
249,GP,M,16,other,1,1,0,no,3,5,0,1,14.0,Medium,3.0,Very Bad
250,GP,M,18,course,2,1,1,no,4,5,0,1,7.0,Medium,3.0,Neutral
251,GP,M,16,reputation,3,2,0,no,3,2,6,1,9.0,Medium,2.0,Very Bad
252,GP,M,18,other,1,1,1,no,2,5,4,1,8.0,Medium,3.5,Neutral
253,GP,M,16,course,2,1,0,yes,3,3,0,1,8.0,Low,2.0,Very Bad
254,GP,M,17,course,1,1,0,no,4,5,0,1,11.0,Low,3.0,Very Bad
255,GP,M,17,course,2,1,1,yes,4,5,2,1,8.0,High,1.5,Neutral
256,GP,F,17,reputation,1,4,0,yes,2,4,6,1,13.0,High,1.0,Very Bad
257,GP,M,19,reputation,1,2,0,no,3,1,12,1,11.0,Medium,1.0,Very Bad
258,GP,M,18,home,1,2,0,yes,2,4,8,1,14.0,Medium,1.5,Neutral
259,GP,F,17,course,1,4,0,yes,4,2,0,1,6.0,High,1.0,Very Bad
260,GP,F,18,home,1,2,0,no,1,2,21,1,18.0,High,2.0,Very Bad
261,GP,M,18,course,1,2,0,no,3,3,2,1,8.0,Medium,1.0,Very Bad
262,GP,M,18,course,1,3,0,yes,3,3,1,1,12.0,Low,1.0,Very Bad
263,GP,F,17,home,1,3,0,yes,2,4,4,1,9.0,Low,1.0,Very Bad
264,GP,F,18,home,1,3,0,yes,3,3,0,1,6.0,High,1.0,Very Bad
265,GP,M,18,reputation,2,2,0,yes,2,1,13,1,17.0,Medium,3.5,Neutral
266,GP,M,17,other,1,2,0,yes,4,5,2,1,9.0,Medium,3.5,Neutral
267,GP,F,18,reputation,2,2,0,yes,3,4,8,1,11.0,Medium,2.0,Neutral
268,GP,M,18,reputation,1,2,0,yes,4,5,10,1,10.0,High,2.0,Excellent
269,GP,F,18,reputation,2,2,0,no,3,3,0,1,2.0,Low,1.5,Neutral
270,GP,F,19,home,1,2,2,yes,3,5,15,1,9.0,High,3.0,Neutral
271,GP,F,18,reputation,1,4,0,yes,5,2,4,1,14.0,High,2.0,Neutral
272,GP,F,18,home,2,2,0,no,4,3,2,1,11.0,Medium,1.0,Very Bad
273,GP,M,17,home,1,2,0,yes,5,1,2,1,14.0,Low,2.0,Very Bad
274,GP,F,17,reputation,2,2,0,no,3,1,2,1,10.0,High,1.0,Very Bad
275,GP,F,17,course,2,2,0,no,4,5,6,1,12.0,High,2.5,Neutral
276,GP,F,18,home,2,2,0,no,1,5,75,1,9.0,Low,1.0,Very Bad
277,GP,M,18,home,2,1,0,yes,2,3,22,1,9.0,High,2.5,Very Bad
278,GP,F,18,reputation,1,2,1,yes,4,4,15,1,8.0,High,1.0,Neutral
279,GP,M,18,course,2,1,0,yes,2,1,8,1,10.0,High,1.5,Very Bad
280,GP,M,17,home,2,1,0,yes,5,5,30,1,8.0,Medium,3.0,Neutral
281,GP,M,17,home,1,1,1,no,4,3,19,1,10.0,Medium,3.5,Neutral
282,GP,F,18,reputation,2,4,0,yes,2,3,1,1,12.0,Medium,1.0,Very Bad
283,GP,F,18,home,2,2,0,yes,4,4,4,1,9.0,Medium,1.0,Neutral
284,GP,F,17,course,1,2,0,no,4,5,4,1,10.0,Medium,1.5,Neutral
285,GP,M,17,reputation,1,2,0,no,3,4,2,1,11.0,Medium,1.5,Very Bad
286,GP,F,18,other,1,3,0,no,3,2,5,1,18.0,Medium,1.5,Very Bad
287,GP,F,17,reputation,1,3,0,no,3,3,6,1,12.0,High,1.0,Very Bad
288,GP,M,18,reputation,1,3,0,yes,2,2,6,1,14.0,High,2.0,Neutral
289,GP,M,18,reputation,1,2,0,yes,4,2,9,1,14.0,High,1.0,Very Bad
290,GP,M,18,home,1,2,0,yes,3,5,11,1,11.0,High,2.5,Very Bad
291,GP,F,17,reputation,1,3,0,no,2,3,0,1,15.0,High,1.5,Very Bad
292,GP,F,18,reputation,1,2,1,no,4,5,12,1,12.0,Medium,1.0,Neutral
293,GP,F,17,reputation,2,4,0,no,1,3,6,1,18.0,Medium,1.0,Very Bad
294,GP,M,18,reputation,2,3,0,yes,4,4,8,1,14.0,High,1.0,Very Bad
295,GP,M,17,home,1,1,0,no,4,5,4,1,12.0,High,2.0,Very Bad
296,GP,F,19,reputation,2,2,0,yes,3,2,0,1,6.0,High,2.5,Very Bad
297,GP,F,18,home,2,2,0,no,4,2,10,1,9.0,High,1.5,Neutral
298,GP,F,18,reputation,1,4,0,no,3,3,0,1,14.0,Medium,1.0,Very Bad
299,GP,M,18,home,1,1,0,no,4,1,5,1,16.0,High,2.0,Very Bad
300,GP,F,18,home,1,2,0,no,2,4,14,1,11.0,Medium,1.0,Neutral
301,GP,M,17,home,2,1,0,no,1,5,0,1,11.0,High,2.0,Very Bad
302,GP,F,17,reputation,2,3,0,no,3,3,0,1,14.0,Medium,1.0,Very Bad
303,GP,F,17,reputation,1,4,0,yes,2,5,0,1,17.0,High,1.5,Very Bad
304,GP,M,19,home,1,2,1,yes,4,3,20,1,14.0,Medium,1.0,Neutral
305,GP,F,18,reputation,1,2,1,yes,4,3,8,1,13.0,High,1.0,Very Bad
306,GP,M,20,course,1,1,0,yes,5,5,0,1,18.0,Medium,1.0,Very Bad
307,GP,M,19,reputation,2,1,1,no,3,4,38,1,8.0,High,1.0,Neutral
